	token	경주빈도	전주빈도	빈도합	전주비율	경주비율
649	움직임	4	0	4	0.00%	100.00%
650	우양	4	0	4	0.00%	100.00%
651	용시	4	0	4	0.00%	100.00%
652	요즘	4	0	4	0.00%	100.00%
653	왕자	4	0	4	0.00%	100.00%
654	오릉	4	0	4	0.00%	100.00%
655	자신	4	0	4	0.00%	100.00%
656	원릉	4	0	4	0.00%	100.00%
657	작년	4	0	4	0.00%	100.00%
658	조금	4	0	4	0.00%	100.00%
659	작품	4	0	4	0.00%	100.00%
660	중반	4	0	4	0.00%	100.00%
661	주머니	4	0	4	0.00%	100.00%
662	종합	4	0	4	0.00%	100.00%
663	조화	4	0	4	0.00%	100.00%
664	조사	4	0	4	0.00%	100.00%
665	조립식	4	0	4	0.00%	100.00%
666	조심	4	0	4	0.00%	100.00%
667	제외	4	0	4	0.00%	100.00%
668	제안	4	0	4	0.00%	100.00%
669	정서	4	0	4	0.00%	100.00%
670	접근성	4	0	4	0.00%	100.00%
671	전역	4	0	4	0.00%	100.00%
672	전남	4	0	4	0.00%	100.00%
673	재미	4	0	4	0.00%	100.00%
674	잔치국수	4	0	4	0.00%	100.00%
675	통제	3	0	3	0.00%	100.00%
676	오타쿠	0	3	3	100.00%	0.00%
677	애니	0	3	3	100.00%	0.00%
678	아중	0	3	3	100.00%	0.00%
679	수지	0	3	3	100.00%	0.00%
680	레일바이크	0	3	3	100.00%	0.00%
681	떡갈비	0	3	3	100.00%	0.00%
682	휴무일	3	0	3	0.00%	100.00%
683	경우	3	0	3	0.00%	100.00%
684	정상	3	0	3	0.00%	100.00%
685	비피	3	0	3	0.00%	100.00%
686	방해	3	0	3	0.00%	100.00%
687	뉴스	3	0	3	0.00%	100.00%
688	기상청	3	0	3	0.00%	100.00%
689	주변	0	3	3	100.00%	0.00%
690	일본	0	3	3	100.00%	0.00%
691	옥스	2	0	2	0.00%	100.00%
692	이튿날	2	0	2	0.00%	100.00%
693	청공	2	0	2	0.00%	100.00%
694	테이	2	0	2	0.00%	100.00%
695	모주	0	2	2	100.00%	0.00%
696	동네	0	2	2	100.00%	0.00%
697	스테이	1	0	1	0.00%	100.00%
698	소록	1	0	1	0.00%	100.00%
699	권역	1	0	1	0.00%	100.00%
700	찜질방	0	1	1	100.00%	0.00%
