id,year,month,day,obs_date,season_type,avg_temp,min_temp,max_temp,humidity,precipitation,wind_speed,is_flood_risk,created_at
247,2022,12,7,2022-12-07,dry,4.9,1.2,9.0,60.4,0.1,2.7,0,2025-06-30 14:29:06
248,2022,12,8,2022-12-08,dry,3.7,0.1,9.1,57.5,0.0,1.4,0,2025-06-30 14:29:07
249,2022,12,9,2022-12-09,dry,4.5,0.9,10.2,60.8,0.0,2.0,0,2025-06-30 14:29:08
250,2022,12,10,2022-12-10,dry,2.6,-0.6,6.7,46.5,0.0,1.3,0,2025-06-30 14:29:08
251,2022,12,11,2022-12-11,dry,1.6,-1.5,6.8,52.5,0.0,1.8,0,2025-06-30 14:29:09
252,2022,12,12,2022-12-12,dry,2.0,-2.0,6.3,73.4,5.4,1.7,0,2025-06-30 14:29:10
253,2022,12,13,2022-12-13,dry,0.0,-6.4,3.1,70.8,0.6,3.5,0,2025-06-30 14:29:10
254,2022,12,14,2022-12-14,dry,-8.4,-11.0,-4.9,50.1,0.0,3.2,0,2025-06-30 14:29:11
255,2022,12,15,2022-12-15,dry,-4.5,-8.5,-1.3,79.1,2.4,2.5,0,2025-06-30 14:29:12
256,2022,12,16,2022-12-16,dry,-6.3,-9.6,-2.2,56.9,0.0,2.0,0,2025-06-30 14:29:13
257,2022,12,17,2022-12-17,dry,-7.0,-9.8,-3.2,52.0,0.2,2.7,0,2025-06-30 14:29:13
258,2022,12,18,2022-12-18,dry,-9.5,-12.4,-5.6,47.1,0.0,2.6,0,2025-06-30 14:29:14
259,2022,12,19,2022-12-19,dry,-7.0,-12.0,-2.5,55.6,0.0,1.7,0,2025-06-30 14:29:15
260,2022,12,20,2022-12-20,dry,-3.2,-9.5,2.9,55.8,0.0,2.2,0,2025-06-30 14:29:15
261,2022,12,21,2022-12-21,dry,-0.1,-2.6,2.6,82.4,3.6,2.7,0,2025-06-30 14:29:16
262,2022,12,22,2022-12-22,dry,-7.8,-11.3,-2.6,60.5,0.0,4.4,0,2025-06-30 14:29:17
263,2022,12,23,2022-12-23,dry,-11.8,-13.7,-8.6,60.5,0.0,4.3,0,2025-06-30 14:29:17
264,2022,12,24,2022-12-24,dry,-8.4,-13.5,-2.0,54.9,0.0,1.8,0,2025-06-30 14:29:18
265,2022,12,25,2022-12-25,dry,-5.4,-9.6,0.2,66.5,0.0,1.7,0,2025-06-30 14:29:19
266,2022,12,26,2022-12-26,dry,-3.9,-7.9,1.7,68.4,0.0,1.4,0,2025-06-30 14:29:20
267,2022,12,27,2022-12-27,dry,-2.6,-7.3,3.3,69.8,0.0,1.8,0,2025-06-30 14:29:20
268,2022,12,28,2022-12-28,dry,-3.3,-6.0,0.1,58.1,0.1,2.5,0,2025-06-30 14:29:21
269,2022,12,29,2022-12-29,dry,-2.9,-7.8,2.1,56.3,0.0,1.7,0,2025-06-30 14:29:22
270,2022,12,30,2022-12-30,dry,-1.8,-4.4,2.3,65.6,0.0,1.9,0,2025-06-30 14:29:23
271,2022,12,31,2022-12-31,dry,-1.2,-5.1,2.1,65.5,0.0,1.4,0,2025-06-30 14:29:23
422,2023,1,1,2023-01-01,dry,-0.2,-4.3,3.8,55.0,0.0,2.7,0,2025-06-30 14:31:50
423,2023,1,2,2023-01-02,dry,-4.5,-7.4,-0.4,46.0,0.0,2.5,0,2025-06-30 14:31:51
424,2023,1,3,2023-01-03,dry,-5.0,-9.0,0.6,49.0,0.0,1.8,0,2025-06-30 14:31:52
425,2023,1,4,2023-01-04,dry,-1.8,-5.7,3.3,51.0,0.0,1.9,0,2025-06-30 14:31:52
426,2023,1,5,2023-01-05,dry,-1.6,-5.6,3.6,58.1,0.0,1.6,0,2025-06-30 14:31:53
427,2023,1,6,2023-01-06,dry,0.6,-4.7,5.7,71.9,3.9,2.2,0,2025-06-30 14:31:54
428,2023,1,7,2023-01-07,dry,1.5,-1.4,3.8,80.9,0.1,2.2,0,2025-06-30 14:31:54
429,2023,1,8,2023-01-08,dry,1.3,-3.7,6.3,69.3,0.0,1.7,0,2025-06-30 14:31:55
430,2023,1,9,2023-01-09,dry,3.1,-1.3,7.0,60.1,0.0,2.3,0,2025-06-30 14:31:56
431,2023,1,10,2023-01-10,dry,1.6,-3.9,9.1,59.9,0.0,1.5,0,2025-06-30 14:31:57
432,2023,1,11,2023-01-11,dry,2.6,-2.0,9.2,61.9,0.0,1.6,0,2025-06-30 14:31:57
433,2023,1,12,2023-01-12,dry,5.9,-0.6,12.5,46.6,0.0,2.2,0,2025-06-30 14:31:58
434,2023,1,13,2023-01-13,dry,8.3,5.1,10.1,99.1,37.3,2.5,0,2025-06-30 14:31:59
435,2023,1,14,2023-01-14,dry,6.6,3.8,8.4,92.9,1.6,2.5,0,2025-06-30 14:32:00
436,2023,1,15,2023-01-15,dry,-0.2,-3.5,3.8,93.9,3.2,2.8,0,2025-06-30 14:32:01
437,2023,1,16,2023-01-16,dry,-4.6,-6.8,-1.2,63.1,0.0,2.7,0,2025-06-30 14:32:02
438,2023,1,17,2023-01-17,dry,-3.7,-7.0,-0.4,65.1,0.0,1.8,0,2025-06-30 14:32:03
439,2023,1,18,2023-01-18,dry,-1.9,-4.6,2.2,60.5,0.0,2.0,0,2025-06-30 14:32:04
440,2023,1,19,2023-01-19,dry,-0.4,-6.0,4.3,69.3,1.0,2.5,0,2025-06-30 14:32:04
441,2023,1,20,2023-01-20,dry,-3.3,-7.7,2.0,52.4,0.0,3.7,0,2025-06-30 14:32:05
442,2023,1,21,2023-01-21,dry,-4.5,-10.5,1.5,55.4,0.0,1.8,0,2025-06-30 14:32:06
443,2023,1,22,2023-01-22,dry,-0.6,-2.8,2.6,62.8,0.0,2.6,0,2025-06-30 14:32:07
444,2023,1,23,2023-01-23,dry,-0.8,-6.9,4.6,66.6,0.0,2.7,0,2025-06-30 14:32:07
445,2023,1,24,2023-01-24,dry,-14.7,-17.0,-6.9,51.9,0.0,4.6,0,2025-06-30 14:32:08
446,2023,1,25,2023-01-25,dry,-11.3,-17.3,-5.4,45.1,0.0,2.1,0,2025-06-30 14:32:09
447,2023,1,26,2023-01-26,dry,-6.0,-9.0,-3.5,80.1,0.8,2.5,0,2025-06-30 14:32:10
448,2023,1,27,2023-01-27,dry,-7.3,-9.6,-3.8,56.5,0.0,3.5,0,2025-06-30 14:32:10
449,2023,1,28,2023-01-28,dry,-6.0,-11.2,-0.6,54.9,0.0,2.4,0,2025-06-30 14:32:11
450,2023,1,29,2023-01-29,dry,-1.8,-8.0,4.9,58.3,0.0,2.6,0,2025-06-30 14:32:12
451,2023,1,30,2023-01-30,dry,-0.9,-4.4,4.2,55.9,0.0,2.1,0,2025-06-30 14:32:12
452,2023,1,31,2023-01-31,dry,2.4,-3.5,7.8,69.1,0.0,2.7,0,2025-06-30 14:32:13
